index,x,y,z
0,0.019423240281205834,0.021487981217154378,-0.1689707592458902
1,0.10307400023730118,-0.022244403353149266,-0.12525016693934468
2,0.18517520373549043,-0.07333613761780523,-0.11107831612062047
3,0.2598567896702098,-0.13142115200409532,-0.13084600697350898
4,0.3205986488903849,-0.19593708897110326,-0.18652716252268894
5,0.3606980761796153,-0.2661063285141583,-0.2774778963660277
6,0.3738288938516924,-0.3409191127952077,-0.4004823331812787
7,0.35464315321678785,-0.41912824426231815,-0.5500331817721248
8,0.2993571917945908,-0.49926206421845026,-0.7188131465014759
9,0.2062513478020898,-0.5796654750815986,-0.8983105935705871
10,0.07602693130012621,-0.6585720970616372,-1.0794983914761902
11,-0.08802678427670908,-0.7342076890785069,-1.2534994614906791
12,-0.28008673272276696,-0.8049192445975544,-1.4121694119191883
13,-0.49207615626810414,-0.8693154363733515,-1.548552562788305
14,-0.7141472948179177,-0.9263992076725269,-1.6571785964096322
15,-0.9353348836265606,-0.9756711316515905,-1.7342055826863108
16,-1.144318703251215,-1.017183461570107,-1.7774228063667623
17,-1.3302341109190483,-1.0515292291577116,-1.7861499193910642
18,-1.4834540360236455,-1.079762064519029,-1.7610716610450403
19,-1.5962792515273339,-1.1032492236736366,-1.7040426033876346
20,-1.6634705599818653,-1.1234740903633398,-1.6178925954162098
21,-1.6825795054924484,-1.1418072885724184,-1.5062470105157129
22,-1.654040859291186,-1.1592780278519956,-1.3733668653921753
23,-1.581026739882367,-1.1763676354054817,-1.2239996311978145
24,-1.4690704637158494,-1.1928498037570174,-1.0632329983092406
25,-1.3255044270136123,-1.2076951543577112,-0.8963365897930633
26,-1.1587697901521155,-1.2190476808816038,-0.7285899470774707
27,-0.9776727010640636,-1.224275438334971,-0.5650936212414058
28,-0.7906633416181568,-1.220091229518644,-0.4105738101401322
29,-0.6052164257107466,-1.202736071648124,-0.2691975352397306
30,-0.42736727033751704,-1.168215902448339,-0.14441250059183305
31,-0.2614461977138457,-1.1125790071641286,-0.03882934406885331
32,-0.11001849111119687,-1.0322216282655667,0.04584543340542357
33,0.02598337888326539,-0.9242023354854199,0.1088204095324542
34,0.14697398873879364,-0.7865488970528228,0.1501828475019398
35,0.25432836608963816,-0.6185268085969569,0.1708253570737616
36,0.3499552616241576,-0.4208505517398522,0.17234780681164516
37,0.43589021391032484,-0.19580125869581955,0.1569525272320614
38,0.5139506772889614,0.052758565110568895,0.12733697875662944
39,0.5854913393995553,0.31949583939826337,0.08658831865453583
40,0.6512697585161472,0.597834709897048,0.03807336774337879
41,0.7114225305181612,0.8802922152774935,-0.014686549933520478
42,0.7655353325820186,1.1588886291379379,-0.06816501902190626
43,0.8127820610802183,1.4256026919047917,-0.11901350972449737
44,0.8521012426855732,1.6728226780410465,-0.1642708867976404
45,0.8823870383741379,1.8937596635454923,-0.20158828704485124
